CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)",Molecular_Weight (amu)
CM-1345931,JAK1 EC50(uM),0.0238,58.45,2.867,2.2422,1,6,4.0,0.41667,Class B,24.6,25.8,,,32.2,419.49
CM-1382646,JAK1 EC50(uM),0.0499,78.31,0.161,0.1608,2,7,3.0,0.47059,Class B,,573.0,,,,362.38
CM-1288290,JAK1 EC50(uM),0.251,91.89,0.63,0.63,1,7,3.0,0.52941,Class B,4.57,27.4,,,3.44,324.38
CM-1370874,JAK1 EC50(uM),1.36,61.69,0.574,-1.3502,1,7,3.0,0.6,Class B,14.4,151.0,,,2.5,368.48
CM-1282688,JAK1 EC50(uM),0.193,62.11,1.452,1.4518,1,6,3.0,0.58824,Class B,39.4,543.0,,,2.5,346.38
CM-1290424,JAK1 EC50(uM),0.487,125.71,-1.188,-1.188,2,10,3.0,0.63158,Class B,23.0,469.0,,,3.29,434.51
CM-1306257,JAK1 EC50(uM),0.0725,66.21,3.469,3.4682,2,5,3.0,0.6,Class B,8.21,18.0,,,39.9,394.43
CM-1288893,JAK1 EC50(uM),0.343,96.25,-0.301,-0.3005,1,8,3.0,0.5625,Class B,,48.0,,,,360.43
CM-1247655,JAK1 EC50(uM),0.0845,120.47,0.135,0.135,2,9,4.0,0.33333,Class B,40.8,32.0,,,,359.39
CM-1358225,JAK1 EC50(uM),0.0452,86.52,0.52,0.5196,2,7,3.0,0.52632,Class B,28.2,175.0,,,5.98,355.43
CM-1238915,JAK1 EC50(uM),0.123,70.9,1.447,1.4452,2,6,4.0,0.27778,Class B,48.6,342.0,,,20.1,318.38
CM-1156356,JAK1 EC50(uM),0.472,68.1,0.57,0.57,1,6,3.0,0.5,Class B,,,,,,271.32
CM-1002243,JAK1 EC50(uM),1.12,95.59,1.882,1.8823,3,7,3.0,0.2,Class B,36.1,38.0,,,,368.29
CM-1270618,JAK1 EC50(uM),0.155,95.38,1.13,0.9692,2,8,3.0,0.5,Class B,,,,,,416.42
CM-1719220,JAK1 EC50(uM),0.691,82.19,1.56,1.5149,1,7,2.0,0.625,Class B,12.4,,,,,349.45
CM-1338818,JAK1 EC50(uM),0.0436,87.89,1.679,1.6787,1,8,4.0,0.47619,Class B,10.3,483.0,,,44.4,444.46
CM-1339643,JAK1 EC50(uM),0.148,76.27,0.75,0.6312,1,8,4.0,0.5,Class B,0.949,32.1,,,2.5,405.5
CM-1268574,JAK1 EC50(uM),0.0245,91.89,2.404,2.4042,1,7,4.0,0.33333,Class B,25.8,5.0,,,12.6,372.42
CM-1270519,JAK1 EC50(uM),0.36,86.6,1.24,1.0859,1,8,3.0,0.52941,Class B,,204.0,,,,430.45
CM-1359339,JAK1 EC50(uM),0.126,90.07,0.587,0.5863,1,7,3.0,0.47368,Class B,49.9,154.0,,,10.7,348.4
CM-1157483,JAK1 EC50(uM),1.54,75.0,1.988,1.9853,1,7,4.0,0.33333,Class B,185.0,5.0,,,2.5,387.36
CM-1269692,JAK1 EC50(uM),1.13,95.38,1.101,0.566,2,8,3.0,0.52941,Class B,,163.0,,,,430.45
CM-1357440,JAK1 EC50(uM),0.423,98.55,-1.243,-1.2437,3,8,3.0,0.4375,Class B,0.0928,169.0,,,10.9,328.37
CM-1270518,JAK1 EC50(uM),2.01,86.6,1.326,1.173,1,8,3.0,0.55556,Class B,,125.0,,,,442.46
CM-1268564,JAK1 EC50(uM),0.0149,91.89,2.547,2.5469,1,7,4.0,0.33333,Class B,,,,,,390.41
CM-1367785,JAK1 EC50(uM),0.0541,84.23,0.921,-1.0437,1,8,4.0,0.5,Class B,,,,,,431.53
CM-1038624,JAK1 EC50(uM),0.184,89.61,3.36,3.3595,1,8,3.0,0.3913,Class B,18.5,1.0,,,46.2,453.56
CM-1719215,JAK1 EC50(uM),1.46,82.19,1.299,1.254,1,7,2.0,0.6,Class B,7.34,,,,,337.44
CM-1339480,JAK1 EC50(uM),0.501,89.16,0.836,0.7661,1,9,4.0,0.54545,Class B,3.11,27.3,,,6.98,420.51
CM-1250922,JAK1 EC50(uM),0.0241,69.53,0.325,0.2937,1,7,3.0,0.47059,Class B,36.4,46.8,,,7.94,360.36
CM-1375979,JAK1 EC50(uM),0.189,49.22,2.574,0.6833,1,5,3.0,0.6,Class B,5.5,174.0,,,26.2,391.43
CM-1367964,JAK1 EC50(uM),0.283,87.55,0.313,0.3128,2,8,3.0,0.57143,Class B,4.64,200.0,,,2.99,396.49
CM-1338707,JAK1 EC50(uM),0.0114,71.59,1.865,1.6115,1,7,4.0,0.45455,Class B,1.92,362.0,,,11.0,391.47
CM-1269634,JAK1 EC50(uM),0.0539,46.5,2.654,2.6539,1,4,3.0,0.46667,Class B,48.9,299.0,,,8.32,254.33
CM-1278351,JAK1 EC50(uM),0.0424,68.1,1.638,1.6376,1,6,3.0,0.61111,Class B,48.0,548.0,,,48.1,325.41
CM-1126013,JAK1 EC50(uM),0.493,46.5,2.913,2.9134,1,4,3.0,0.46667,Class B,8.3,4.9,,47.3,43.6,254.33
CM-1351412,JAK1 EC50(uM),0.0465,85.9,0.791,0.7676,1,7,3.0,0.57895,Class B,42.7,280.0,,,4.97,349.43
CM-1289156,JAK1 EC50(uM),0.0331,88.41,1.298,1.298,1,8,3.0,0.55556,Class B,29.5,35.0,,,4.85,390.39
CM-1347502,JAK1 EC50(uM),0.00874,69.77,1.751,1.7501,1,5,3.0,0.47059,Class B,11.1,5.0,,,19.3,293.37
CM-1358666,JAK1 EC50(uM),0.0238,78.31,0.092,0.092,2,7,3.0,0.47059,Class B,21.4,331.0,5.85,23.4,15.1,344.39
CM-1371152,JAK1 EC50(uM),0.0276,73.0,1.472,1.4419,1,6,3.0,0.55,Class B,18.9,200.0,,,11.5,348.44
CM-1373500,JAK1 EC50(uM),0.144,73.0,1.935,-0.139,1,6,3.0,0.55,Class B,0.41,344.0,,,5.53,350.46
CM-1373868,JAK1 EC50(uM),0.114,75.25,0.907,0.4384,1,7,4.0,0.42105,Class B,28.1,187.0,,,7.91,350.42
CM-1178079,JAK1 EC50(uM),0.0985,45.98,1.995,1.9937,1,4,3.0,0.42857,Class B,43.5,,,,29.3,240.3
CM-1274049,JAK1 EC50(uM),0.495,46.5,3.786,3.7864,1,4,3.0,0.46667,Class B,50.3,3.26,,,150.0,308.3
CM-1372356,JAK1 EC50(uM),3.0,44.81,3.018,2.9716,1,4,2.0,0.53846,Class B,84.0,59.4,,,43.9,230.31
CM-1051569,JAK1 EC50(uM),0.678,44.81,3.383,3.3368,1,4,2.0,0.57143,Class B,36.6,,,,59.6,244.34
